% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Channel B (Input 2, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Time span 13.02 s, time offset 76.84 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2026-08-12 T 11:57:16 +1000
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V), Math (Ch A + Ch B) (V)
-6.589574832000e+00, 1.231500e-01, 9.208333e-02, 2.152333e-01
-6.576830800000e+00, 1.286000e-01, 8.700000e-02, 2.156000e-01
-6.564086768000e+00, 1.343167e-01, 8.191667e-02, 2.162333e-01
-6.551342736000e+00, 1.368500e-01, 7.991667e-02, 2.167667e-01
-6.538598704000e+00, 1.385667e-01, 7.816667e-02, 2.167333e-01
-6.525854672000e+00, 1.387000e-01, 7.830000e-02, 2.170000e-01
-6.513110640000e+00, 1.356500e-01, 8.111667e-02, 2.167667e-01
-6.500366608000e+00, 1.304667e-01, 8.606667e-02, 2.165333e-01
-6.487622576000e+00, 1.216833e-01, 9.421667e-02, 2.159000e-01
-6.474878544000e+00, 1.074500e-01, 1.074500e-01, 2.149000e-01
-6.462134512000e+00, 1.020167e-01, 1.131833e-01, 2.152000e-01
-6.449390480000e+00, 9.110000e-02, 1.233500e-01, 2.144500e-01
-6.436646448000e+00, 8.671667e-02, 1.276167e-01, 2.143333e-01
-6.423902416000e+00, 8.193333e-02, 1.319000e-01, 2.138333e-01
-6.411158384000e+00, 8.206667e-02, 1.319000e-01, 2.139667e-01
-6.398414352000e+00, 8.458333e-02, 1.291000e-01, 2.136833e-01
-6.385670320000e+00, 9.056667e-02, 1.238833e-01, 2.144500e-01
-6.372926288000e+00, 9.921667e-02, 1.160000e-01, 2.152167e-01
-6.360182256000e+00, 1.090500e-01, 1.065000e-01, 2.155500e-01
-6.347438224000e+00, 1.159667e-01, 1.006333e-01, 2.166000e-01
-6.334694192000e+00, 1.255500e-01, 9.153333e-02, 2.170833e-01
-6.321950160000e+00, 1.304667e-01, 8.673333e-02, 2.172000e-01
-6.309206128000e+00, 1.352500e-01, 8.245000e-02, 2.177000e-01
-6.296462096000e+00, 1.385667e-01, 7.936667e-02, 2.179333e-01
-6.283718064000e+00, 1.400333e-01, 7.843333e-02, 2.184667e-01
-6.270974032000e+00, 1.385667e-01, 7.976667e-02, 2.183333e-01
-6.258230000000e+00, 1.356500e-01, 8.271667e-02, 2.183667e-01
-6.245485968000e+00, 1.296667e-01, 8.860000e-02, 2.182667e-01
-6.232741936000e+00, 1.243500e-01, 9.300000e-02, 2.173500e-01
-6.219997904000e+00, 1.170333e-01, 1.000833e-01, 2.171167e-01
-6.207253872000e+00, 1.118500e-01, 1.053000e-01, 2.171500e-01
-6.194509840000e+00, 1.069333e-01, 1.097167e-01, 2.166500e-01
-6.181765808000e+00, 1.017333e-01, 1.145333e-01, 2.162667e-01
-6.169021776000e+00, 9.641667e-02, 1.196000e-01, 2.160167e-01
-6.156277744000e+00, 9.056667e-02, 1.249500e-01, 2.155167e-01
-6.143533712000e+00, 8.803333e-02, 1.274833e-01, 2.155167e-01
-6.130789680000e+00, 8.431667e-02, 1.305667e-01, 2.148833e-01
-6.118045648000e+00, 8.338333e-02, 1.308333e-01, 2.142167e-01
-6.105301616000e+00, 9.681667e-02, 1.181333e-01, 2.149500e-01
-6.092557584000e+00, 9.881667e-02, 1.173333e-01, 2.161500e-01
-6.079813552000e+00, 9.801667e-02, 1.176000e-01, 2.156167e-01
-6.067069520000e+00, 1.074500e-01, 1.078500e-01, 2.153000e-01
-6.054325488000e+00, 8.871667e-02, 1.260167e-01, 2.147333e-01
-6.041581456000e+00, 9.323333e-02, 1.216000e-01, 2.148333e-01
-6.028837424000e+00, 1.024167e-01, 1.126500e-01, 2.150667e-01
-6.016093392000e+00, 1.054667e-01, 1.095833e-01, 2.150500e-01
-6.003349360000e+00, 9.190000e-02, 1.225500e-01, 2.144500e-01
-5.990605328000e+00, 9.496667e-02, 1.193333e-01, 2.143000e-01
-5.977861296000e+00, 1.025500e-01, 1.133167e-01, 2.158667e-01
-5.965117264000e+00, 1.203500e-01, 9.595000e-02, 2.163000e-01
-5.952373232000e+00, 1.167667e-01, 9.995000e-02, 2.167167e-01
-5.939629200000e+00, 1.143833e-01, 1.014167e-01, 2.158000e-01
-5.926885168000e+00, 1.300667e-01, 8.673333e-02, 2.168000e-01
-5.914141136000e+00, 1.369833e-01, 8.058333e-02, 2.175667e-01
-5.901397104000e+00, 1.365833e-01, 8.085000e-02, 2.174333e-01
-5.888653072000e+00, 1.363167e-01, 8.125000e-02, 2.175667e-01
-5.875909040000e+00, 1.383167e-01, 7.991667e-02, 2.182333e-01
-5.863165008000e+00, 1.295333e-01, 8.780000e-02, 2.173333e-01
-5.850420976000e+00, 1.359167e-01, 8.231667e-02, 2.182333e-01
-5.837676944000e+00, 1.332500e-01, 8.431667e-02, 2.175667e-01
-5.824932912000e+00, 1.291333e-01, 8.833333e-02, 2.174667e-01
-5.812188880000e+00, 1.283500e-01, 8.953333e-02, 2.178833e-01
-5.799444848000e+00, 1.248833e-01, 9.235000e-02, 2.172333e-01
-5.786700816000e+00, 1.202167e-01, 9.688333e-02, 2.171000e-01
-5.773956784000e+00, 1.113167e-01, 1.050333e-01, 2.163500e-01
-5.761212752000e+00, 1.110500e-01, 1.053167e-01, 2.163667e-01
-5.748468720000e+00, 1.063833e-01, 1.093167e-01, 2.157000e-01
-5.735724688000e+00, 9.895000e-02, 1.166500e-01, 2.156000e-01
-5.722980656000e+00, 9.388333e-02, 1.202667e-01, 2.141500e-01
-5.710236624000e+00, 9.401667e-02, 1.208167e-01, 2.148333e-01
-5.697492592000e+00, 8.898333e-02, 1.258833e-01, 2.148667e-01
-5.684748560000e+00, 8.578333e-02, 1.283000e-01, 2.140833e-01
-5.672004528000e+00, 8.525000e-02, 1.282833e-01, 2.135333e-01
-5.659260496000e+00, 8.246667e-02, 1.311000e-01, 2.135667e-01
-5.646516464000e+00, 8.153333e-02, 1.319000e-01, 2.134333e-01
-5.633772432000e+00, 8.126667e-02, 1.317667e-01, 2.130333e-01
-5.621028400000e+00, 8.126667e-02, 1.316333e-01, 2.129000e-01
-5.608284368000e+00, 8.246667e-02, 1.305667e-01, 2.130333e-01
-5.595540336000e+00, 8.298333e-02, 1.301667e-01, 2.131500e-01
-5.582796304000e+00, 8.338333e-02, 1.293667e-01, 2.127500e-01
-5.570052272000e+00, 8.738333e-02, 1.257500e-01, 2.131333e-01
-5.557308240000e+00, 9.228333e-02, 1.214833e-01, 2.137667e-01
-5.544564208000e+00, 9.561667e-02, 1.166667e-01, 2.122833e-01
-5.531820176000e+00, 9.641667e-02, 1.162667e-01, 2.126833e-01
-5.519076144000e+00, 1.037333e-01, 1.101167e-01, 2.138500e-01
-5.506332112000e+00, 1.118500e-01, 1.026333e-01, 2.144833e-01
-5.493588080000e+00, 1.162333e-01, 9.823333e-02, 2.144667e-01
-5.480844048000e+00, 1.210167e-01, 9.395000e-02, 2.149667e-01
-5.468100016000e+00, 1.268833e-01, 8.793333e-02, 2.148167e-01
-5.455355984000e+00, 1.331167e-01, 8.258333e-02, 2.157000e-01
-5.442611952000e+00, 1.348500e-01, 8.098333e-02, 2.158333e-01
-5.429867920000e+00, 1.373833e-01, 7.870000e-02, 2.160833e-01
-5.417123888000e+00, 1.383000e-01, 7.803333e-02, 2.163333e-01
-5.404379856000e+00, 1.387000e-01, 7.750000e-02, 2.162000e-01
-5.391635824000e+00, 1.383000e-01, 7.816667e-02, 2.164667e-01
-5.378891792000e+00, 1.377833e-01, 7.896667e-02, 2.167500e-01
-5.366147760000e+00, 1.339167e-01, 8.258333e-02, 2.165000e-01
-5.353403728000e+00, 1.323333e-01, 8.365000e-02, 2.159833e-01
-5.340659696000e+00, 1.256833e-01, 8.966667e-02, 2.153500e-01
-5.327915664000e+00, 1.243500e-01, 9.126667e-02, 2.156167e-01
-5.315171632000e+00, 1.218167e-01, 9.355000e-02, 2.153667e-01
-5.302427600000e+00, 1.196833e-01, 9.568333e-02, 2.153667e-01
-5.289683568000e+00, 1.158333e-01, 9.943333e-02, 2.152667e-01
-5.276939536000e+00, 1.138333e-01, 1.013000e-01, 2.151333e-01
-5.264195504000e+00, 1.066500e-01, 1.089167e-01, 2.155667e-01
-5.251451472000e+00, 9.828333e-02, 1.155833e-01, 2.138667e-01
-5.238707440000e+00, 9.030000e-02, 1.233500e-01, 2.136500e-01
-5.225963408000e+00, 8.565000e-02, 1.269500e-01, 2.126000e-01
-5.213219376000e+00, 8.271667e-02, 1.303000e-01, 2.130167e-01
-5.200475344000e+00, 8.220000e-02, 1.308333e-01, 2.130333e-01
-5.187731312000e+00, 8.778333e-02, 1.253500e-01, 2.131333e-01
-5.174987280000e+00, 9.935000e-02, 1.145167e-01, 2.138667e-01
-5.162243248000e+00, 1.141167e-01, 1.008833e-01, 2.150000e-01
-5.149499216000e+00, 1.295333e-01, 8.645000e-02, 2.159833e-01
-5.136755184000e+00, 1.371167e-01, 7.910000e-02, 2.162167e-01
-5.124011152000e+00, 1.238167e-01, 9.515000e-02, 2.189667e-01
-5.111267120000e+00, 1.126500e-01, 1.022167e-01, 2.148667e-01
-5.098523088000e+00, 1.070500e-01, 1.069167e-01, 2.139667e-01
-5.085779056000e+00, 1.111833e-01, 1.022167e-01, 2.134000e-01
-5.073035024000e+00, 1.134500e-01, 9.970000e-02, 2.131500e-01
-5.060290992000e+00, 1.052000e-01, 1.095833e-01, 2.147833e-01
-5.047546960000e+00, 1.119833e-01, 1.027667e-01, 2.147500e-01
-5.034802928000e+00, 1.133167e-01, 1.004833e-01, 2.138000e-01
-5.022058896000e+00, 1.138333e-01, 1.007667e-01, 2.146000e-01
-5.009314864000e+00, 1.073167e-01, 1.055667e-01, 2.128833e-01
-4.996570832000e+00, 1.150333e-01, 1.010167e-01, 2.160500e-01
-4.983826800000e+00, 1.119833e-01, 1.035667e-01, 2.155500e-01
-4.971082768000e+00, 1.099833e-01, 1.039667e-01, 2.139500e-01
-4.958338736000e+00, 1.137167e-01, 1.028833e-01, 2.166000e-01
-4.945594704000e+00, 1.113167e-01, 1.022333e-01, 2.135500e-01
-4.932850672000e+00, 1.185000e-01, 9.730000e-02, 2.158000e-01
-4.920106640000e+00, 1.158500e-01, 1.004833e-01, 2.163333e-01
-4.907362608000e+00, 1.095833e-01, 1.042333e-01, 2.138167e-01
-4.894618576000e+00, 1.085167e-01, 1.055667e-01, 2.140833e-01
-4.881874544000e+00, 1.073333e-01, 1.061167e-01, 2.134500e-01
-4.869130512000e+00, 1.165000e-01, 9.981667e-02, 2.163167e-01
-4.856386480000e+00, 1.159833e-01, 1.002167e-01, 2.162000e-01
-4.843642448000e+00, 1.097167e-01, 1.045000e-01, 2.142167e-01
-4.830898416000e+00, 1.170333e-01, 9.888333e-02, 2.159167e-01
-4.818154384000e+00, 1.114500e-01, 1.033000e-01, 2.147500e-01
-4.805410352000e+00, 1.123833e-01, 1.038333e-01, 2.162167e-01
-4.792666320000e+00, 1.089167e-01, 1.063833e-01, 2.153000e-01
-4.779922288000e+00, 1.133167e-01, 1.018333e-01, 2.151500e-01
-4.767178256000e+00, 1.081333e-01, 1.066500e-01, 2.147833e-01
-4.754434224000e+00, 1.114500e-01, 1.042333e-01, 2.156833e-01
-4.741690192000e+00, 1.082500e-01, 1.075833e-01, 2.158333e-01
-4.728946160000e+00, 1.109167e-01, 1.047667e-01, 2.156833e-01
-4.716202128000e+00, 1.105000e-01, 1.039667e-01, 2.144667e-01
-4.703458096000e+00, 1.115667e-01, 1.039667e-01, 2.155333e-01
-4.690714064000e+00, 1.114333e-01, 1.041000e-01, 2.155333e-01
-4.677970032000e+00, 1.106500e-01, 1.054500e-01, 2.161000e-01
-4.665226000000e+00, 1.172833e-01, 9.741667e-02, 2.147000e-01
-4.652481968000e+00, 1.155667e-01, 1.000833e-01, 2.156500e-01
-4.639737936000e+00, 1.212833e-01, 9.406667e-02, 2.153500e-01
-4.626993904000e+00, 1.174333e-01, 9.928333e-02, 2.167167e-01
-4.614249872000e+00, 1.194167e-01, 9.781667e-02, 2.172333e-01
-4.601505840000e+00, 1.204833e-01, 9.528333e-02, 2.157667e-01
-4.588761808000e+00, 1.226167e-01, 9.461667e-02, 2.172333e-01
-4.576017776000e+00, 1.194167e-01, 9.581667e-02, 2.152333e-01
-4.563273744000e+00, 1.190167e-01, 9.795000e-02, 2.169667e-01
-4.550529712000e+00, 1.150333e-01, 1.004833e-01, 2.155167e-01
-4.537785680000e+00, 1.121000e-01, 1.038333e-01, 2.159333e-01
-4.525041648000e+00, 1.119667e-01, 1.039667e-01, 2.159333e-01
-4.512297616000e+00, 1.119667e-01, 1.030333e-01, 2.150000e-01
-4.499553584000e+00, 1.101167e-01, 1.047667e-01, 2.148833e-01
-4.486809552000e+00, 1.107833e-01, 1.039667e-01, 2.147500e-01
-4.474065520000e+00, 1.078667e-01, 1.062333e-01, 2.141000e-01
-4.461321488000e+00, 1.084000e-01, 1.062500e-01, 2.146500e-01
-4.448577456000e+00, 1.020167e-01, 1.115833e-01, 2.136000e-01
-4.435833424000e+00, 1.014833e-01, 1.118500e-01, 2.133333e-01
