% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Channel B (Input 2, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Time span 10.95 s, time offset -506.7 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2026-08-12 T 12:11:47 +1000
% all strings on at a time, D,A,D?,G,B
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V), Math (Ch A + Ch B) (V)
-5.465470080000e+00, 7.873333e-02, 1.375167e-01, 2.162500e-01
-5.454753472000e+00, 7.793333e-02, 1.376500e-01, 2.155833e-01
-5.444036864000e+00, 7.926667e-02, 1.361833e-01, 2.154500e-01
-5.433320256000e+00, 8.111667e-02, 1.333833e-01, 2.145000e-01
-5.422603648000e+00, 8.285000e-02, 1.319167e-01, 2.147667e-01
-5.411887040000e+00, 8.138333e-02, 1.345833e-01, 2.159667e-01
-5.401170432000e+00, 8.020000e-02, 1.351167e-01, 2.153167e-01
-5.390453824000e+00, 7.926667e-02, 1.359167e-01, 2.151833e-01
-5.379737216000e+00, 7.940000e-02, 1.349833e-01, 2.143833e-01
-5.369020608000e+00, 8.138333e-02, 1.331167e-01, 2.145000e-01
-5.358304000000e+00, 8.205000e-02, 1.324500e-01, 2.145000e-01
-5.347587392000e+00, 7.993333e-02, 1.352500e-01, 2.151833e-01
-5.336870784000e+00, 8.006667e-02, 1.345833e-01, 2.146500e-01
-5.326154176000e+00, 8.138333e-02, 1.323167e-01, 2.137000e-01
-5.315437568000e+00, 8.325000e-02, 1.317833e-01, 2.150333e-01
-5.304720960000e+00, 8.285000e-02, 1.319167e-01, 2.147667e-01
-5.294004352000e+00, 8.125000e-02, 1.339167e-01, 2.151667e-01
-5.283287744000e+00, 8.073333e-02, 1.336500e-01, 2.143833e-01
-5.272571136000e+00, 8.151667e-02, 1.320500e-01, 2.135667e-01
-5.261854528000e+00, 8.085000e-02, 1.340500e-01, 2.149000e-01
-5.251137920000e+00, 8.060000e-02, 1.341833e-01, 2.147833e-01
-5.240421312000e+00, 7.993333e-02, 1.348500e-01, 2.147833e-01
-5.229704704000e+00, 8.125000e-02, 1.327167e-01, 2.139667e-01
-5.218988096000e+00, 8.391667e-02, 1.295000e-01, 2.134167e-01
-5.208271488000e+00, 8.311667e-02, 1.315167e-01, 2.146333e-01
-5.197554880000e+00, 8.126667e-02, 1.339167e-01, 2.151833e-01
-5.186838272000e+00, 8.073333e-02, 1.337833e-01, 2.145167e-01
-5.176121664000e+00, 7.913333e-02, 1.345833e-01, 2.137167e-01
-5.165405056000e+00, 8.191667e-02, 1.317833e-01, 2.137000e-01
-5.154688448000e+00, 8.033333e-02, 1.343167e-01, 2.146500e-01
-5.143971840000e+00, 7.953333e-02, 1.349833e-01, 2.145167e-01
