% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Channel B (Input 2, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Time span 10.95 s, time offset -506.7 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2026-08-12 T 12:10:30 +1000
% no guitar
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V), Math (Ch A + Ch B) (V)
-5.476186688000e+00, 1.274167e-01, 6.950000e-02, 1.969167e-01
-5.465470080000e+00, 1.259500e-01, 7.136667e-02, 1.973167e-01
-5.454753472000e+00, 1.258167e-01, 7.110000e-02, 1.969167e-01
-5.444036864000e+00, 1.243667e-01, 7.270000e-02, 1.970667e-01
-5.433320256000e+00, 1.227667e-01, 7.390000e-02, 1.966667e-01
-5.422603648000e+00, 1.226333e-01, 7.376667e-02, 1.964000e-01
-5.411887040000e+00, 1.226333e-01, 7.403333e-02, 1.966667e-01
-5.401170432000e+00, 1.207667e-01, 7.510000e-02, 1.958667e-01
-5.390453824000e+00, 1.198333e-01, 7.616667e-02, 1.960000e-01
-5.379737216000e+00, 1.197000e-01, 7.590000e-02, 1.956000e-01
-5.369020608000e+00, 1.191667e-01, 7.670000e-02, 1.958667e-01
-5.358304000000e+00, 1.174333e-01, 7.791667e-02, 1.953500e-01
-5.347587392000e+00, 1.159667e-01, 7.965000e-02, 1.956167e-01
-5.336870784000e+00, 1.141167e-01, 8.085000e-02, 1.949667e-01
-5.326154176000e+00, 1.153000e-01, 8.018333e-02, 1.954833e-01
-5.315437568000e+00, 1.133167e-01, 8.206667e-02, 1.953833e-01
-5.304720960000e+00, 1.129167e-01, 8.206667e-02, 1.949833e-01
-5.294004352000e+00, 1.131833e-01, 8.206667e-02, 1.952500e-01
-5.283287744000e+00, 1.119833e-01, 8.340000e-02, 1.953833e-01
-5.272571136000e+00, 1.110500e-01, 8.433333e-02, 1.953833e-01
-5.261854528000e+00, 1.105333e-01, 8.473333e-02, 1.952667e-01
-5.251137920000e+00, 1.097333e-01, 8.566667e-02, 1.954000e-01
-5.240421312000e+00, 1.086667e-01, 8.620000e-02, 1.948667e-01
-5.229704704000e+00, 1.084000e-01, 8.660000e-02, 1.950000e-01
-5.218988096000e+00, 1.085333e-01, 8.673333e-02, 1.952667e-01
-5.208271488000e+00, 1.082667e-01, 8.673333e-02, 1.950000e-01
-5.197554880000e+00, 1.088000e-01, 8.686667e-02, 1.956667e-01
-5.186838272000e+00, 1.080000e-01, 8.673333e-02, 1.947333e-01
-5.176121664000e+00, 1.085333e-01, 8.660000e-02, 1.951333e-01
-5.165405056000e+00, 1.077333e-01, 8.753333e-02, 1.952667e-01
-5.154688448000e+00, 1.074667e-01, 8.780000e-02, 1.952667e-01
-5.143971840000e+00, 1.072000e-01, 8.793333e-02, 1.951333e-01
-5.133255232000e+00, 1.074667e-01, 8.833333e-02, 1.958000e-01
-5.122538624000e+00, 1.086667e-01, 8.700000e-02, 1.956667e-01
-5.111822016000e+00, 1.093167e-01, 8.606667e-02, 1.953833e-01
-5.101105408000e+00, 1.080000e-01, 8.753333e-02, 1.955333e-01
-5.090388800000e+00, 1.078667e-01, 8.740000e-02, 1.952667e-01
-5.079672192000e+00, 1.093167e-01, 8.633333e-02, 1.956500e-01
-5.068955584000e+00, 1.097167e-01, 8.580000e-02, 1.955167e-01
-5.058238976000e+00, 1.084000e-01, 8.713333e-02, 1.955333e-01
-5.047522368000e+00, 1.078667e-01, 8.766667e-02, 1.955333e-01
-5.036805760000e+00, 1.093333e-01, 8.686667e-02, 1.962000e-01
-5.026089152000e+00, 1.096000e-01, 8.580000e-02, 1.954000e-01
-5.015372544000e+00, 1.078667e-01, 8.806667e-02, 1.959333e-01
-5.004655936000e+00, 1.094667e-01, 8.593333e-02, 1.954000e-01
-4.993939328000e+00, 1.093333e-01, 8.633333e-02, 1.956667e-01
-4.983222720000e+00, 1.090667e-01, 8.673333e-02, 1.958000e-01
